,TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
127,180.4359436,8.875,8.83984375,9.051757813,57.12683105,0.145080566,50.68969727,27.54516602,7340.424805,15.93589592,8.068744659
146,180.48164369999998,8.859375,8.82421875,9.043945313,56.98649979,0.14379882800000002,50.72631836,27.6550293,7136.367187999999,15.78239822,8.071842194
148,180.3292999,8.829101563,8.798828125,9.013671875,56.88125229,0.144897461,50.68969727,27.6550293,7092.614258,15.99298763,8.040543556
149,180.34452819999998,8.876953125,8.844726563,9.068359375,57.08005524,0.145935059,50.81787109,27.75268555,7019.521484000001,15.96994686,8.053770065
150,180.34452819999998,8.872070313,8.841796875,9.033203125,57.20869446,0.144714355,50.71411133,27.67944336,6977.660156,15.874040599999999,8.066170692
240,180.4511719,8.837890625,8.806640625,9.016601563,56.86955643,0.145690918,50.98876953,27.81982422,7307.089355,16.27152634,8.007240295
241,180.39022830000002,8.83984375,8.813476563,9.017578125,56.99819565,0.144226074,50.60424805,27.60009766,7276.957031,15.79677773,8.048259735
242,180.48164369999998,8.817382813,8.787109375,9.004882813,56.99819565,0.142456055,50.36621094,27.39868164,7509.759276999999,14.7865839,8.056646347000001
319,180.4359436,8.841796875,8.813476563,9.047851563,57.22038651,0.13989257800000002,49.96337891,26.86157227,7055.946289,14.58954048,7.977045536
339,180.4207001,8.815429688,8.782226563,8.999023438,57.0098877,0.144165039,50.65307617,27.62451172,7393.036133,15.95825195,8.042186737
341,180.4207001,8.81640625,8.788085938,8.998046875,56.96311188,0.143493652,50.51879883,27.5390625,7172.198242,15.92231655,8.034434318999999
431,180.4511719,8.904296875,8.870117188,9.07421875,57.15022278,0.15234375,51.873779299999995,28.29589844,6913.069336,17.26529312,8.022005081
432,180.39022830000002,8.916992188,8.880859375,9.06640625,56.93972397,0.15411377,51.89819336,28.40576172,6964.527344,17.00701523,8.065361977
435,180.4664001,8.872070313,8.844726563,9.056640625,56.95141602,0.150024414,51.5625,28.03344727,6959.26709,16.53430557,8.027647972
436,180.375,8.883789063,8.84765625,9.068359375,56.98649979,0.148803711,51.26953125,27.82592773,7027.776855,16.54107475,8.070394516
437,180.5578156,8.879882813,8.845703125,9.056640625,57.08005524,0.148010254,51.19628906,27.76489258,6709.20459,16.39796257,8.012077332
438,180.4664001,8.862304688,8.83203125,9.04296875,57.03327942,0.14770507800000002,51.11083984,27.72216797,6850.987793000001,16.45506859,8.00980854
439,180.40547180000002,8.862304688,8.831054688,9.033203125,57.0917511,0.148254395,51.15966797,27.75878906,6966.279785,16.23652649,8.071239471
440,180.4664001,8.900390625,8.866210938,9.065429688,57.20869446,0.149475098,51.34887695,27.91137695,7014.737793000001,16.76610947,8.009576797000001
